"mouse_strain","parameter_group","parameter_name","gene_symbol","combined_pvalue"
"C3H","Others","retina (combined)","CHD7",0.634341551599689
"C3H","Others","right inner nuclear layer","CHD7",0.48942133675257
"C3H","Others","right kidney","CHD7",0.419334247765431
"C3H","Others","right outer nuclear layer","CHD7",0.810706264045456
"C3H","Others","right posterior chamber depth","CHD7",0.668451622766232
"C3H","Others","right retina","CHD7",0.934780779290342
"C3H","Others","right total retinal thickness","CHD7",0.782921925546098
"C3H","Others","rr","CHD7",0.449629776394476
"C3H","Others","shape of spine","CHD7",0.610234648038108
"C3H","Others","shape of vertebrae","CHD7",0.121833010056556
"C3H","Others","side changes","CHD7",0.242264385625563
"C3H","Others","sleep bout lengths standard deviation","CHD7",0.14743859694678
"C3H","Others","sleep dark phase percent","CHD7",0.868941756059263
"C3H","Others","snout size","CHD7",0.581973060657425
"C3H","Others","sodium","CHD7",0.196634724755013
"C3H","Others","spleen weight","CHD7",0.224266621399489
"C3H","Others","startle response","CHD7",0.145375881730396
"C3H","Others","t cell cd3+ percentage","CHD7",0.268467691111636
"C3H","Others","t cell cd4+ percentage","CHD7",0.583613042522237
"C3H","Others","t cell cd8+ percentage","CHD7",0.192061646564847
"C3H","Others","t cells (panel a) - % of live leukocytes (panel a)","CHD7",0.1403267
"C3H","Others","tail - length","CHD7",0.682360581227098
"C3H","Others","tail - morphology","CHD7",0.154085317986761
"C3H","Others","tail - thickness","CHD7",0.939236657168249
"C3H","Others","tail elevation","CHD7",0.117024747712809
"C3H","Others","teeth","CHD7",0.456769722685103
"C3H","Others","thoracic processes","CHD7",0.270514487886095
"C3H","Others","tibia length","CHD7",0.692014048384199
"C3H","Others","time mobile dark side","CHD7",0.1440191
"C3H","Others","total bilirubin","CHD7",0.94465253111017
"C3H","Others","total cholesterol","CHD7",0.596031795089085
"C3H","Others","total duration of lick/bite behaviour","CHD7",0.566770303378366
"C3H","Others","total holepokes","CHD7",0.952765636605896
"C3H","Others","total protein","CHD7",0.517621377588441
"C3H","Others","transfer arousal","CHD7",0.166533161151172
"C3H","Others","transitional vertebrae","CHD7",0.38640553309761
"C3H","Others","tremor","CHD7",0.683626224797755
"C3H","Others","triglycerides","CHD7",0.329177702570852
"C3H","Others","trunk curl","CHD7",0.368420393725913
"C3H","Others","urea (blood urea nitrogen - bun)","CHD7",0.307752236976502
"C3H","Others","uric acid","CHD7",0.410911456521562
"C3H","Others","vibrissae - appearance","CHD7",0.23112406816653
"C3H","Others","vitreous","CHD7",0.474293902080881
"C3H","Others","vocalisation","CHD7",0.68982603540695
"C3H","Others","vocalization","CHD7",0.651865599495671
"C3H","Others","weight","CHD7",0.0903719532383004
"C3H","Others","whole arena - resting time","CHD7",0.121704092342956
"C3H","Others","whole arena average speed","CHD7",0.61341819124239
"C3H","Others","whole arena resting time","CHD7",0.692857002989455
"C3H","Respiratory","respiratory exchange ratio","CHD7",0.210492787353667
"C3H","Respiratory","respiratory system","CHD7",0.722306789462642
"C3H","Skin","skin color - tail","CHD7",0.748434839228676
"C3H","Weight","bmc/body weight","CHD7",0.802219008054399
"C3H","Weight","fat/body weight","CHD7",0.70965992120284
"C3H","Weight","lean/body weight","CHD7",0.901142109436465
"C3H","Weight","spleen weight","CHD7",0.178540102956761
"C50BL","Behavior","percentage center movement time","CAPN8",0.4326885
"C50BL","Behavior","spontaneous movement","ACCSL",0.2901343
"C50BL","Behavior","unexpected behaviors","PANK2",0.5808486
"C50BL","Blood","eye hemorrhage or blood presence","TTLL11",0.3974224
"C50BL","Blood","red blood cell count","FBXO36",0.7182276
"C50BL","Blood","retinal blood vessels","PATJ",0.9118434
"C50BL","Blood","retinal blood vessels structure","IDH3B",0.3865791
"C50BL","Blood","retinal blood vessels structure","LIPT1",0.8882778
"C50BL","Blood","urea (blood urea nitrogen - bun)","TMCC2",0.2665861
"C50BL","Bone","bone area","CNNM3",0.8751521
"C50BL","Brain","forebrain","DDX31",0.9117945
"C50BL","Cardiovascular","heart looping","KLF4",0.8413745
"C50BL","Metabolic","glucose","YPEL4",0.4634423
"C50BL","Motor_Function","forelimb and hindlimb grip strength measurement mean","ENKUR",0.7981127
"C50BL","Motor_Function","forelimb and hindlimb grip strength measurement mean","MNDAL",0.7390951
"C50BL","Motor_Function","forelimb and hindlimb grip strength measurement mean","SPAG4",0.7181164
"C50BL","Motor_Function","forelimb grip strength measurement mean","MNDAL",0.6704476
"C50BL","Motor_Function","forelimb grip strength normalised against body weight","NDUFS2",0.5387394
"C50BL","Motor_Function","hindlimb digit - shape","TMEM163",0.3004954
"C50BL","Others","% freezing duration context-1","GAPVD1",0.7740892
"C50BL","Others","% freezing duration pre-cue-1","SDHC",0.1957409
"C50BL","Others","18khz-evoked abr threshold","FOXO1",0.8989632
"C50BL","Others","30khz-evoked abr threshold","CIMIP2B",0.806886
"C50BL","Others","6khz-evoked abr threshold","SNIP1",0.4101803
"C50BL","Others","abnormal ecg detected","AHDC1",0.277796
"C50BL","Others","albumin","PDE1A",0.8608067
"C50BL","Others","alkaline phosphatase","FOCAD",0.7423057
"C50BL","Others","allantois morphology","B3GALT2",0.9960888
"C50BL","Others","anophthalmia","PABPC4",0.3946489
"C50BL","Others","anophthalmia","TCHHL1",0.9762951
"C50BL","Others","basophil differential count","ACP2",0.3582098
"C50BL","Others","bmc/body weight","ST8SIA6",0.8553459
"C50BL","Others","body length","GAPVD1",0.5596116
"C50BL","Others","body weight","CAMK1D",0.1937702
"C50BL","Others","bone area (bmc/bmd)","DHX35",0.08240039
"C50BL","Others","bone mineral density (excluding skull)","ORC3",0.4927664
"C50BL","Others","breath rate during sleep mean","DNAJB14",0.1479649
"C50BL","Others","breath rate during sleep mean","IDH3B",0.0690938
"C50BL","Others","bulging eye","SERPINB3C",0.2636018
"C50BL","Others","calcium","OR8H8",0.6805696
"C50BL","Others","center distance travelled","ENKUR",0.7462767
"C50BL","Others","center distance travelled","FGF7",0.2951596
"C50BL","Others","center distance travelled","SNRNP200",0.2172898
"C50BL","Others","center distance travelled","TMEM163",0.8658061
"C50BL","Others","center permanence time","DDX31",0.544462
"C50BL","Others","centre average speed","SNRNP200",0.4865803
"C50BL","Others","chloride","RTN4RL2",0.8554462
"C50BL","Others","coat - color - back","IL1RL1",0.9971117
"C50BL","Others","coat - hair distribution - back","HPDL",0.3937957
"C50BL","Others","coat - hair distribution - head","TMEM198",0.8155436
"C50BL","Others","coat - hair texture / appearance - abdomen","ARID3C",0.8887558
"C50BL","Others","coat - hair texture / appearance - abdomen","FCRLA",0.0841607
"C50BL","Others","coat colouration","PTPRD",0.8820648
"C50BL","Others","contact righting","COL16A1",0.6130691
"C50BL","Others","cornea","ADAM30",0.6678905
"C50BL","Others","corneal opacity","DNAJB14",0.9028158
"C50BL","Others","corneal opacity","FREY1",0.3693961
"C50BL","Others","corneal opacity","NDUFB5",0.6692834
"C50BL","Others","creatine kinase","FCGR3",0.9870029
"C50BL","Others","creatinine","PER2",0.2949806
"C50BL","Others","csn","ARID3C",0.8131917
"C50BL","Others","csn","FREY1",0.5973659
"C50BL","Others","cue baseline % freezing time","CTSO",0.6467614
"C50BL","Others","cue baseline % freezing time","LIPT1",0.1380271
"C50BL","Others","cv","IL36RN",0.6631184
"C50BL","Others","cv","SLC26A9",0.5605317
"C50BL","Others","delayed embryonic development","EXO5",0.5069584
"C50BL","Others","delayed embryonic development","GZF1",0.1644416
"C50BL","Others","delayed embryonic development","ZFP704",0.5574116
"C50BL","Others","digit integrity","AHDC1",0.1531573
"C50BL","Others","distance travelled - total","EFCAB2",0.8787903
"C50BL","Others","distance travelled - total","ZRANB2",0.2228842
"C50BL","Others","edema","ACTRT3",0.7662229
"C50BL","Others","embryo size","SDHC",0.8580216
"C50BL","Others","embryo size","YPEL4",0.2090678
"C50BL","Others","embryo turning","A830018L16RIK",0.6841322
"C50BL","Others","embryo turning","FOCAD",0.1441218
"C50BL","Others","eosinophil cell count","AP4E1",0.7229671
"C50BL","Others","eosinophil cell count","CACNA1S",0.5979683
"C50BL","Others","eosinophil differential count","CTSO",0.3604982
"C50BL","Others","esn","TIPARP",0.6708026
"C50BL","Others","fusion of vertebrae","DDX31",0.6141843
"C50BL","Others","fusion of vertebrae","SPACA9",0.544506
"C50BL","Others","haematocrit","P2RY14",0.9032177
"C50BL","Others","haematocrit","PGAP4",0.7099619
"C50BL","Others","head size","DNAJB14",0.1430641
"C50BL","Others","head size","KANSL1L",0.8524226
"C50BL","Others","head size","TMEM198",0.2251304
"C50BL","Others","hematocrit","IL1RL1",0.1770974
"C50BL","Others","hemorrhage","PDE1A",0.6088081
"C50BL","Others","hr","PPIE",0.5684729
"C50BL","Others","iris/pupil light response","FCGR3",0.8824837
"C50BL","Others","iron","GYG1",0.8684761
"C50BL","Others","kyphosis","KLHL12",0.1988566
"C50BL","Others","large unstained cell (luc) count","GPR63",0.5759987
"C50BL","Others","large unstained cell (luc) count","XKR4",0.3415186
"C50BL","Others","large unstained cell (luc) count","ZGRF1",0.2226336
"C50BL","Others","latency familiar object exploration","P2RY14",0.7090539
"C50BL","Others","latency to enter in the center","RAPGEF1",0.6512591
"C50BL","Others","latency to enter in the center","TNIK",0.6693937
"C50BL","Others","latency to first transition into dark","LIPT1",0.2589996
"C50BL","Others","lean/body weight","ORC3",0.5149641
"C50BL","Others","left inner nuclear layer","PER2",0.7883494
"C50BL","Others","left kidney","KTI12",0.442592
"C50BL","Others","left outer nuclear layer","CAMK1D",0.5088112
"C50BL","Others","left retina","TRIM14",0.3332014
"C50BL","Others","lens","P2RY14",0.4145627
"C50BL","Others","lens opacity","TTLL11",0.4352499
"C50BL","Others","lumbar processes","SLC26A9",0.7140501
"C50BL","Others","lvidd","AMPD2",0.207454
"C50BL","Others","ma threshold inducing clonic seizure","CNR2",0.3055466
"C50BL","Others","mean cell volume","SLC22A15",0.3372225
"C50BL","Others","mean left eye lens density","ACCSL",0.8754944
"C50BL","Others","mean platelet volume","KIF26B",0.9249078
"C50BL","Others","mean platelet volume","SLC2A10",0.5792674
"C50BL","Others","neutrophil cell count","DNER",0.4200988
"C50BL","Others","number of center entries","NEK7",0.06396153
"C50BL","Others","pelvis","GARNL3",0.8856333
"C50BL","Others","percentage center time","SDC3",0.5708284
"C50BL","Others","periphery - distance","CNNM3",0.7407768
"C50BL","Others","periphery distance travelled","KANSL1L",0.2504544
"C50BL","Others","periphery permanence time","FOCAD",0.3086488
"C50BL","Others","persistence of hyaloid vascular system","ENKUR",0.4035978
"C50BL","Others","persistence of hyaloid vascular system","FCRLA",0.4453739
"C50BL","Others","phosphorus","PNKD",0.6172049
"C50BL","Others","placenta morphology","FOCAD",0.4216024
"C50BL","Others","placenta morphology","IDH3B",0.1904085
"C50BL","Others","placenta morphology","MAP3K20",0.41274
"C50BL","Others","placenta morphology","TMEM185B",0.4532425
"C50BL","Others","placenta vasculature","GAPVD1",0.986417
"C50BL","Others","potassium","NEK7",0.1567191
"C50BL","Others","pupil dilation","SARDH",0.7377733
"C50BL","Others","pupil light response","ST8SIA6",0.7101489
"C50BL","Others","pupil light response","UQCRH",0.5204293
"C50BL","Others","red blood cell count","NEK7",0.8212777
"C50BL","Others","red blood cell count","SMYD3",0.4827832
"C50BL","Others","response amplitude - s","LIPT1",0.4732329
"C50BL","Others","response amplitude - s","NPR2",0.7944238
"C50BL","Others","retina (combined)","IDH3B",0.1103219
"C50BL","Others","retina (combined)","PDHX",0.5680639
"C50BL","Others","rr","LIPT1",0.7441261
"C50BL","Others","sleep bout lengths standard deviation","SARDH",0.9332528
"C50BL","Others","sleep dark phase percent","DHX35",0.5177297
"C50BL","Others","sleep dark phase percent","NOXA1",0.8088353
"C50BL","Others","snout size","TIPARP",0.9942501
"C50BL","Others","startle response","LIPT1",0.1290905
"C50BL","Others","tail - length","FBXO36",0.4975468
"C50BL","Others","tail - thickness","KTI12",0.8208964
"C50BL","Others","tail - thickness","VWC2L",0.5742266
"C50BL","Others","thoracic processes","HPDL",0.2160885
"C50BL","Others","thoracic processes","SLC9B1",0.09499295
"C50BL","Others","tibia length","ARHGEF11",0.8723655
"C50BL","Others","tibia length","PNKD",0.6705508
"C50BL","Others","time mobile dark side","CD84",0.844128
"C50BL","Others","total bilirubin","GYG1",0.9179092
"C50BL","Others","total cholesterol","TMEM198",0.7954835
"C50BL","Others","total duration of lick/bite behaviour","CHRM4",0.357234
"C50BL","Others","transfer arousal","ACCSL",0.2971336
"C50BL","Others","tremor","GZF1",0.2580803
"C50BL","Others","triglycerides","FAM117B",0.6720811
"C50BL","Others","trunk curl","NAXE",0.7047591
"C50BL","Others","urea (blood urea nitrogen - bun)","MNDAL",0.5725294
"C50BL","Others","uric acid","PTER",0.4012628
"C50BL","Others","vitreous","SDHC",0.6723075
"C50BL","Others","vocalisation","EFCAB2",0.7945868
"C50BL","Others","vocalization","ASXL1",0.1772899
"C50BL","Others","weight","P2RY14",0.2681725
"C50BL","Others","whole arena - resting time","ANKRD60",0.8379479
"C50BL","Others","whole arena - resting time","B3GALT2",0.2566814
"C50BL","Others","whole arena average speed","CNNM3",0.959526
"C50BL","Weight","fat/body weight","NEK7",0.1221171
"C51BL","Behavior","activity (body position)","NEK7",0.7576204
"C51BL","Behavior","activity (body position)","TMCC2",0.2039155
"C51BL","Behavior","percentage center movement time","GAR1",0.3127981
"C51BL","Behavior","spontaneous movement","DNAH7B",0.7114062
"C51BL","Blood","eye hemorrhage or blood presence","ACVR2A",0.2062981
"C51BL","Blood","eye hemorrhage or blood presence","RTN4RL2",0.7407797
"C51BL","Blood","mean cell hemoglobin concentration","TMEM163",0.392024
"C51BL","Blood","red blood cell distribution width","DAPL1",0.1347758
"C51BL","Blood","urea (blood urea nitrogen - bun)","OR8H8",0.8427013
"C51BL","Bone","bone area","ARID3C",0.3136574
"C51BL","Bone","bone area","IL2RA",0.8012497
"C51BL","Bone","bone area","RIN2",0.6655471
"C51BL","Bone","bone mineral content (excluding skull)","FOCAD",0.7272307
"C51BL","Bone","bone mineral density (excluding skull)","VWC2L",0.8403209
"C51BL","Brain","forebrain","TTLL11",0.1657868
"C51BL","Metabolic","area under glucose response curve","CACNA1S",0.8859718
"C51BL","Metabolic","glucose","PDE1A",0.4170185
"C51BL","Motor_Function","forelimb and hindlimb grip strength measurement mean","PATJ",0.9679244
"C51BL","Motor_Function","forelimb and hindlimb grip strength measurement mean","PHC3",0.9695346
"C51BL","Motor_Function","forelimbs - size","LDLRAD1",0.7765313
"C51BL","Motor_Function","limb grasp","GAR1",0.1060007
"C51BL","Others","% pre-pulse inhibition - ppi1","TMEM198",0.1783685
"C51BL","Others","aspartate aminotransferase","PHC3",0.4173976
"C51BL","Others","aspartate aminotransferase","SARDH",0.6908351
"C51BL","Others","baseline: latency to withdrawal","STOML2",0.196645
"C51BL","Others","basophil cell count","MGME1",0.516003
"C51BL","Others","basophil differential count","FASTKD2",0.854872
"C51BL","Others","bone area (bmc/bmd)","GARNL3",0.287135
"C51BL","Others","bone mineral content","D430041D05RIK",0.7263371
"C51BL","Others","bone mineral content","NSL1",0.4066753
"C51BL","Others","bone mineral density (excluding skull)","FOCAD",0.9169487
"C51BL","Others","center average speed","HPDL",0.5071045
"C51BL","Others","center average speed","SPAG4",0.5789774
"C51BL","Others","center distance travelled","SERINC2",0.5550101
"C51BL","Others","center distance travelled","ZMYM6",0.8937357
"C51BL","Others","center permanence time","KIF26B",0.3114937
"C51BL","Others","centre permanence time","AP4E1",0.5437789
"C51BL","Others","centre permanence time","MNDAL",0.8492659
"C51BL","Others","centre permanence time","PPIE",0.2966305
"C51BL","Others","click-evoked abr threshold","KCNT1",0.3410634
"C51BL","Others","coat - color - abdomen","AP4E1",0.4673371
"C51BL","Others","coat - color - abdomen","GFM1",0.3235508
"C51BL","Others","coat - color - abdomen","YPEL4",0.982179
"C51BL","Others","coat - color - back","SMYD3",0.2778293
"C51BL","Others","coat - hair distribution - head","ZHX3",0.6699598
"C51BL","Others","contact righting","CAMK1D",0.6752969
"C51BL","Others","corneal opacity","ACTRT3",0.4242075
"C51BL","Others","corneal opacity","SMYD3",0.7746625
"C51BL","Others","craniofacial morphology","DDX31",0.6901098
"C51BL","Others","craniofacial morphology","MDK",0.7524132
"C51BL","Others","craniofacial morphology","SPAG4",0.4862168
"C51BL","Others","creatine kinase","KIF26B",0.6128853
"C51BL","Others","csn","FASTKD2",0.7540933
"C51BL","Others","cue baseline % freezing time","SDHC",0.4405418
"C51BL","Others","cyanosis","PGAP4",0.8619535
"C51BL","Others","delayed embryonic development","SNIP1",0.3241323
"C51BL","Others","difference in conditioning post-shock and conditioning baseline % freezing","MNDAL",0.461216
"C51BL","Others","distance travelled - total","PDE1A",0.737857
"C51BL","Others","edema","MNDAL",0.1334447
"C51BL","Others","edema","RAPGEF1",0.5622923
"C51BL","Others","ejection fraction","ACTRT3",0.7487849
"C51BL","Others","ejection fraction","MYOM3",0.7601176
"C51BL","Others","embryo size","GAPVD1",0.06545765
"C51BL","Others","eosinophil cell count","NSL1",0.5900237
"C51BL","Others","fat/body weight","ACVR2A",0.3899803
"C51BL","Others","fusion of vertebrae","CAMK1D",0.1686889
"C51BL","Others","gait","ANKRD60",0.615799
"C51BL","Others","gait","PM20D1",0.4708554
"C51BL","Others","glucose","ACVR2A",0.1818641
"C51BL","Others","glucose","FCGR3",0.6588957
"C51BL","Others","head coat/hair presence","TMEM198",0.3534939
"C51BL","Others","head size","PPP1R14D",0.4002972
"C51BL","Others","head size","RAPGEF1",0.8182143
"C51BL","Others","hematocrit","TMEM198",0.5138608
"C51BL","Others","hp8","PM20D1",0.5621681
"C51BL","Others","hr","SLC9B1",0.8384146
"C51BL","Others","inspiratory capacity","ZRANB2",0.9063356
"C51BL","Others","iris/pupil light response","ACVR2A",0.4107672
"C51BL","Others","iron","NDUFB5",0.7737137
"C51BL","Others","latency familiar object exploration","KTI12",0.8577824
"C51BL","Others","latency familiar object exploration","YPEL4",0.2231378
"C51BL","Others","lean/body weight","KCNB2",0.5919151
"C51BL","Others","left inner nuclear layer","IDH3B",0.6651249
"C51BL","Others","left kidney","SDHC",0.7279727
"C51BL","Others","left outer nuclear layer","NDUFB5",0.2233809
"C51BL","Others","lens","MNDAL",0.5302421
"C51BL","Others","lens","SLC26A9",0.5979665
"C51BL","Others","lens","TTLL11",0.6016886
"C51BL","Others","lens opacity","CACNA1S",0.6349004
"C51BL","Others","lens opacity","PNKD",0.2536911
"C51BL","Others","light sleep bout lengths mean","OR8H8",0.995772
"C51BL","Others","limb grasp","KLHL12",0.4456471
"C51BL","Others","limb grasp","SLC2A10",0.7182694
"C51BL","Others","limb grasp","TMEM198",0.4678561
"C51BL","Others","ma threshold inducing clonic seizure","ANKRD60",0.5715879
"C51BL","Others","mean cell volume","ECHDC3",0.5570524
"C51BL","Others","mean-cell-volume","AMPD2",0.6577188
"C51BL","Others","mean-cell-volume","ENKUR",0.2471911
"C51BL","Others","min right eye lens density","PABPC4",0.9897011
"C51BL","Others","naãâ¯ve cd8+ t cells - % of live leukocytes (panel a)","HTR2B",0.5335669
"C51BL","Others","neutrophil cell count","FOXO1",0.6952426
"C51BL","Others","neutrophil differential count","NEK7",0.08436603
"C51BL","Others","periphery - distance","IL2RA",0.618343
"C51BL","Others","periphery - distance","ITGB6",0.5600632
"C51BL","Others","periphery average speed","IL1RL1",0.425458
"C51BL","Others","periphery average speed","TMEM163",0.8083497
"C51BL","Others","periphery distance travelled","CACNA1S",0.2969727
"C51BL","Others","periphery distance travelled","FCGR3",0.2530623
"C51BL","Others","periphery distance travelled","GAPVD1",0.1039393
"C51BL","Others","periphery permanence time","CHRM4",0.8393152
"C51BL","Others","placenta size","CIMIP2B",0.7165643
"C51BL","Others","pupil dilation","GYG1",0.9846279
"C51BL","Others","pupil dilation","NPR2",0.2570072
"C51BL","Others","pupil shape","KCNJ3",0.1684469
"C51BL","Others","red blood cell count","ASXL1",0.5830321
"C51BL","Others","response amplitude - s","LIPT1",0.7059949
"C51BL","Others","response amplitude - s","P2RY14",0.727161
"C51BL","Others","retina (combined)","DDX31",0.6012206
"C51BL","Others","retina (combined)","ECHDC3",0.7417691
"C51BL","Others","right kidney","PPP1R12B",0.9966195
"C51BL","Others","right posterior chamber depth","MNDAL",0.2701827
"C51BL","Others","right retina","SLC9B1",0.2992346
"C51BL","Others","rr","CRABP2",0.3942349
"C51BL","Others","shape of vertebrae","MNDAL",0.8129507
"C51BL","Others","shape of vertebrae","NDUFB5",0.8229082
"C51BL","Others","shape of vertebrae","SMYD3",0.7717515
"C51BL","Others","side changes","ARID3C",0.6469346
"C51BL","Others","sleep bout lengths standard deviation","INO80D",0.6880567
"C51BL","Others","snout size","COQ4",0.9263708
"C51BL","Others","spleen weight","INAVA",0.6213435
"C51BL","Others","spleen weight","TMEM163",0.2007588
"C51BL","Others","t cell cd4+ percentage","MNDAL",0.2830171
"C51BL","Others","t cells (panel a) - % of live leukocytes (panel a)","CACNA1S",0.5367145
"C51BL","Others","t cells (panel a) - % of live leukocytes (panel a)","DNAJB14",0.1264484
"C51BL","Others","tail - length","ORC3",0.3722332
"C51BL","Others","tail - length","TCHHL1",0.7634492
"C51BL","Others","tail elevation","MYO3B",0.1136604
"C51BL","Others","teeth","SLC9B1",0.3977026
"C51BL","Others","total holepokes","SDHC",0.6477689
"C51BL","Others","total protein","SCG5",0.831352
"C51BL","Others","transfer arousal","ACP2",0.5293109
"C51BL","Others","transfer arousal","SLC12A5",0.8935676
"C51BL","Others","triglycerides","GARNL3",0.3389518
"C51BL","Others","triglycerides","NSL1",0.7834866
"C51BL","Others","trunk curl","CAMK1D",0.5731144
"C51BL","Others","vibrissae - appearance","IL2RA",0.1614466
"C51BL","Others","vocalisation","SLC12A5",0.8669397
"C51BL","Others","whole arena - resting time","ACTRT3",0.4171296
"C51BL","Others","whole arena average speed","GPR63",0.4178853
"C51BL","Others","whole arena average speed","HPDL",0.7391256
"C51BL","Respiratory","respiratory system","CD84",0.3948457
"C52BL","Behavior","percentage center movement time","FOCAD",0.3591408
"C52BL","Blood","blood vessel morphology","LDLRAD1",0.3434449
"C52BL","Blood","eye hemorrhage or blood presence","CACNA1S",0.850928
"C52BL","Blood","hemoglobin","CAPZA1",0.5597205
"C52BL","Blood","mean corpuscular hemoglobin","MNDAL",0.4949352
"C52BL","Blood","mean corpuscular hemoglobin","P2RY14",0.4039128
"C52BL","Blood","retinal blood vessels","CRYGC",0.5784286
"C52BL","Blood","retinal blood vessels pattern","PATJ",0.6308992
"C52BL","Blood","retinal blood vessels structure","TTLL11",0.8340068
"C52BL","Blood","urea (blood urea nitrogen - bun)","CDC14A",0.8532466
"C52BL","Brain","midbrain","METTL18",0.2106283
"C52BL","Metabolic","glucose","A830018L16RIK",0.4793124
"C52BL","Motor_Function","hindlimb digit - shape","BLZF1",0.5781225
"C52BL","Motor_Function","hindlimbs - size","STOML2",0.5901647
"C52BL","Others","% freezing duration pre-cue-1","KLF4",0.7884322
"C52BL","Others","% pre-cue freezing total","DPP10",0.4553679
"C52BL","Others","% pre-cue freezing total","ST8SIA6",0.8032154
"C52BL","Others","12khz-evoked abr threshold","BLZF1",0.3894997
"C52BL","Others","30khz-evoked abr threshold","KANSL1L",0.7655195
"C52BL","Others","6khz-evoked abr threshold","FCGR3",0.9723668
"C52BL","Others","6khz-evoked abr threshold","GAPVD1",0.3751492
"C52BL","Others","abnormal ecg detected","TMCC2",0.09912168
"C52BL","Others","albumin","NPR2",0.3730478
"C52BL","Others","alkaline phosphatase","AMPD2",0.5524218
"C52BL","Others","alkaline phosphatase","AP4E1",0.1002388
"C52BL","Others","alkaline phosphatase","LDLRAD1",0.0977776499999999
"C52BL","Others","alkaline phosphatase","PDE1A",0.9972173
"C52BL","Others","area under glucose response curve","NDUFS2",0.5585194
"C52BL","Others","aspartate aminotransferase","CHRM4",0.7101978
"C52BL","Others","baseline: latency to withdrawal","INO80D",0.5119597
"C52BL","Others","basophil cell count","CAPZA1",0.9154059
"C52BL","Others","basophil cell count","FOXO1",0.956357
"C52BL","Others","basophil differential count","CNNM3",0.9915943
"C52BL","Others","body length","NPR2",0.8904304
"C52BL","Others","body length","PDE1A",0.797652
"C52BL","Others","bone area (bmc/bmd)","QSOX2",0.4041758
"C52BL","Others","bone mineral density (excluding skull)","AP4E1",0.9803685
"C52BL","Others","bulging eye","MNDAL",0.80099
"C52BL","Others","center average speed","GZF1",0.4370564
"C52BL","Others","center distance travelled","SRSF4",0.621178
"C52BL","Others","center permanence time","SNRNP200",0.4787173
"C52BL","Others","center permanence time","ZNFX1",0.727363
"C52BL","Others","chloride","CNOT9",0.9860074
"C52BL","Others","chloride","LCT",0.9572003
"C52BL","Others","chloride","SLC22A15",0.8808981
"C52BL","Others","cholesterol ratio","AP4E1",0.9599184
"C52BL","Others","coat - color - back","CACNA1S",0.6256134
"C52BL","Others","coat - color - back","TMEM237",0.444857
"C52BL","Others","coat - hair distribution - head","CAMK1D",0.9382023
"C52BL","Others","coat - hair distribution - head","SMYD3",0.7886378
"C52BL","Others","cornea","TOPORS",0.3245369
"C52BL","Others","corneal opacity","NOXA1",0.08499603
"C52BL","Others","craniofacial morphology","ZHX3",0.1984858
"C52BL","Others","csn","FOCAD",0.3252973
"C52BL","Others","cue baseline % freezing time","PNKD",0.4155949
"C52BL","Others","cyanosis","FCGR3",0.7075722
"C52BL","Others","edema","NEK7",0.2402353
"C52BL","Others","embryo size","ACTRT3",0.465105
"C52BL","Others","embryo turning","CACNA1S",0.5348474
"C52BL","Others","eosinophil cell count","ZFP704",0.3995609
"C52BL","Others","esn","MNDAL",0.7679685
"C52BL","Others","fasted blood glucose concentration","FASTKD2",0.3851116
"C52BL","Others","forelimb and hindlimb grip strength normalised against body weight","CTSO",0.1957175
"C52BL","Others","forelimb grip strength normalised against body weight","NDUFS2",0.8791227
"C52BL","Others","free fatty acids","DNAH7B",0.2288036
"C52BL","Others","fusion of vertebrae","FCRLA",0.5411405
"C52BL","Others","gait","KCNB2",0.3871801
"C52BL","Others","glucose","KLHL12",0.725953
"C52BL","Others","hdl-cholesterol","PPIE",0.436152
"C52BL","Others","head coat/hair presence","FABP3",0.1719919
"C52BL","Others","head size","MGME1",0.4482845
"C52BL","Others","hemorrhage","FOCAD",0.7608922
"C52BL","Others","hemorrhage","GARNL3",0.6371397
"C52BL","Others","hemorrhage","PPIE",0.4594754
"C52BL","Others","inspiratory capacity","MNDAL",0.5211346
"C52BL","Others","iron","GARNL3",0.8975166
"C52BL","Others","iron","GYG1",0.6690792
"C52BL","Others","left kidney","KLF4",0.8146039
"C52BL","Others","left retina","NDUFS2",0.2632537
"C52BL","Others","left retina","UQCRH",0.9644574
"C52BL","Others","left total retinal thickness","ACVR2A",0.4617781
"C52BL","Others","lens","DNAJB14",0.8388699
"C52BL","Others","lens opacity","AMPD2",0.7007699
"C52BL","Others","light sleep bout lengths mean","PTER",0.1517376
"C52BL","Others","limb grasp","CDNF",0.5872085
"C52BL","Others","max left eye lens density","PDE1A",0.1277227
"C52BL","Others","mean left eye lens density","KLHL12",0.3779886
"C52BL","Others","mean left eye lens density","SLC22A15",0.776493
"C52BL","Others","mean platelet volume","ADAM30",0.8069294
"C52BL","Others","mean-corpuscular-haemoglobin","QSOX2",0.7022162
"C52BL","Others","monocyte cell count","SLC9B1",0.8652966
"C52BL","Others","monocyte differential count","EYA3",0.1010862
"C52BL","Others","number of rears - total","GPR63",0.6317054
"C52BL","Others","pelvis","VWA3B",0.6890994
"C52BL","Others","percentage center time","FCRLA",0.9571003
"C52BL","Others","percentage center time","MMP16",0.8249447
"C52BL","Others","periphery - distance","ACTRT3",0.396138
"C52BL","Others","periphery average speed","PDHX",0.1262236
"C52BL","Others","periphery permanence time","BLZF1",0.1210394
